"label","latency","processing.time","test","trace.time","ext1.listener","ext1.sender","gatea.hop.rate","gateb.hop.rate","gatec.hop.rate","gatea.kbps","gatea.pps","gateb.kbps","gateb.pps","gatec.kbps","gatec.pps","invalid.loss.rate","invalid.recv","invalid.sent","prota1.listener","prota1.sender","protb1.listener","protb1.sender","protc1.listener","protc1.sender","results.database","time.begin","time.end","time.total","total.packets","valid.loss.rate","valid.loss.rate.arg","valid.loss.rate.extraarg","valid.loss.rate.interarg","valid.loss.rate.tcp","valid.loss.rate.tcp.interarg","valid.loss.rate.udp","valid.loss.rate.udp.interarg","valid.loss.rate.udptcp.interarg","valid.recv","valid.recv.arg","valid.recv.extraarg","valid.recv.interarg","valid.recv.tcp","valid.recv.tcp.interarg","valid.recv.udp","valid.recv.udp.interarg","valid.recv.udptcp.interarg","valid.sent","valid.sent.arg","valid.sent.extraarg","valid.sent.interarg","valid.sent.tcp","valid.sent.tcp.interarg","valid.sent.udp","valid.sent.udp.interarg","valid.sent.udptcp.interarg","inbound.bad.protocol","inbound.connection.data.received","inbound.dest.ip.incorrect","inbound.gateway.not.connected","inbound.nat.bucket.not.found","inbound.ping.accepted","inbound.rewrite","inbound.source.ip.incorrect","inbound.unwrapped","lost.on.wire","outbound.gateway.not.connected","outbound.message.too.long","outbound.rewrite","outbound.sequence.number.incorrect","outbound.wrapped","unknown",
"hoprate","100","217.382872105","4","2.30503678322","udp, port 2000",,"100ms","100ms","100ms","78.3888898176","17.1581477869","75.4847698835","16.7745982061","76.341873354","16.7985885874","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l100-hr100ms-2012-12-30-07:05:10.db","1356843618.39","1356843940.52","322.128124952","56292","0.116470342232","0.00467289719626","0.000260281103592","0.591279688054","0.0331839820778","0.860294117647","0.22523232005","0.844654459539","0.846819338422","12676","852","11523","1153","6905","38","4919","263","301","14347","856","11526","2821","7142","272","6349","1693","1965",,,"1094",,,,,"575",,,"1",,,,,"1",
"basic","20","865.566660881","8","10.4641609192","udp, port 2000","tcp, 172.3.0.11:4500, .3 second delay","50ms","50ms","50ms","336.60517491","68.6133844387","337.668257596","68.4575821369","331.898840814","67.4323010189","1.0","0","756","udp, port 3000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./basic-t8-l20-hr50ms-2012-12-21-04:13:48.db","1355979618.48","1355979952.1","333.623170853","217192","0.00157099697885","0.0266963292547","0.000685213101274","0.00205369478362","0.00148674320641","0.00167741935484","0.000307465256426","0.000481602774032","0.00119774360559","41310","875","14584","26726","24178","15474","16257","10377","25851","41375","899","14594","26781","24214","15500","16262","10382","25882",,,,,"761",,,,"24",,,"13",,"9",,"14",
"hoprate","500","155.151154995","4","1.66029000282","udp, port 2000",,"30ms","30ms","30ms","60.6419475097","12.9124492951","59.9597794808","12.7238679956","59.3260165085","12.5575584572","1.0","0","0","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","tcp, 172.100.0.1:4000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l500-hr30ms-2012-12-20-19:45:37.db","1355979618.27","1355979940.95","322.682443142","40882","0.152188173554","0.0","0.0","0.642659279778","0.0496183206107","1.0","0.236393442623","1.0","1.0","9047","903","8144","903","3486","0","4658","0","0","10671","903","8144","2527","3668","182","6100","1442","1624",,,"1615",,"1",,,,,,"6",,,,,"2",
"hoprate","0","954.207798004","4","11.4136500359","tcp, port 4000",,"100ms","100ms","100ms","379.420485549","77.9368158416","381.439776189","77.5908994361","377.660020467","77.5016325814","1.0","0","0","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","./hoprate-t4-l0-hr1000ms-2012-12-20-17:20:32.db","1355893218.2","1355893539.48","321.276179075","238426","0.00893367953175","0.0236111111111","0.000325775345322","0.013323144395","0.00899780541331","0.0132548674513","0.00822500862763","0.012772418721","0.0130710055143","45040","703","15343","29697","27094","17941","17243","11053","28994","45446","720","15348","30098","27340","18182","17386","11196","29378",,,"15",,,,,"359","16",,,,,,,"16",
"hoprate","30","822.717770815","4","9.92930698395","tcp, port 4000",,"300ms","300ms","300ms","331.976257235","67.7438955132","332.267047954","67.4569851101","330.591133407","67.0878792975","1.0","0","0","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.100.0.1:2000, .3 second delay","./hoprate-t4-l30-hr300ms-2012-12-30-19:11:20.db","1356843618.43","1356843939.8","321.36774683","208036","0.00155349536457","0.0208092485549","0.000143061516452","0.00231392209796","0.0015422842944","0.00226727127234","0.000509456791696","0.000794517826994","0.00167564332735","39848","847","13978","25870","23306","14962","15695","10061","25023","39910","865","13980","25930","23342","14996","15703","10069","25065",,,,,,,,,"18",,,"15",,"11",,"18",
"packetrate","20","1990.13969302","4","27.3253450394","udp, port 2000",,"50ms","50ms","50ms","792.979305294","160.758188895","789.535989032","159.933792165","781.373426331","158.353946413","1.0","0","0","tcp, port 5000","tcp, 172.3.0.11:5000, .1 second delay","tcp, port 5000","udp, 172.3.0.11:3000, .1 second delay","udp, port 3000","tcp, 172.2.0.11:5000, .1 second delay","./packetrate-t4-l20-hr50ms-2012-12-20-08:30:38.db","1355979618.54","1355979939.04","320.500715017","497332","0.00171488921188","0.0815602836879","0.000239361702128","0.00267089414643","0.00164730210469","0.0024467472654","0.00122753865441","0.00204250141237","0.00228567470693","95469","259","37591","57878","56969","34655","38241","22964","57619","95633","282","37600","58033","57063","34740","38288","23011","57751",,,,"1",,,,,"23",,,"11",,"100",,"29",
"hoprate","500","156.475374937","4","1.65821290016","udp, port 2000",,"30ms","30ms","30ms","60.9833516076","12.9108801273","60.807313298","12.72679552","59.8354535883","12.5504925183","1.0","0","0","tcp, port 5000","udp, 172.3.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l500-hr30ms-2012-12-19-16:36:07.db","1355893218.35","1355893541.03","322.672739983","40928","0.151937839356","0.0","0.0","0.642772277228","0.0491847826087","1.0","0.236393442623","1.0","1.0","9059","902","8157","902","3499","0","4658","0","0","10682","902","8157","2525","3680","181","6100","1442","1623",,,"1615",,"1",,,,,,"6",,,,,"1",
"hoprate","500","144.780938148","4","1.3783121109","udp, port 2000",,"100ms","100ms","100ms","48.1611592599","10.4660355877","60.9838019861","12.7655793672","59.4961881869","12.5597452538","1.0","0","0","udp, port 3000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l500-hr100ms-2013-01-02-06:34:08.db","1357102818.57","1357103141.26","322.69066","37830","0.164210738797","0.0","0.0","0.643083003953","0.0493894165536","1.0","0.271616541353","1.0","1.0","8281","903","7378","903","3503","0","3875","0","0","9908","903","7378","2530","3685","182","5320","1445","1627",,,"1618",,"1",,,,,,"6",,,,,"2",
"hoprate","100","212.238046885","4","2.26945519447","udp, port 2000",,"50ms","50ms","50ms","75.6519080473","16.5045531737","74.4989089895","16.3309617316","73.8028922651","16.1368795309","1.0","0","0","udp, port 3000","udp, 172.100.0.1:2000, .3 second delay","udp, port 3000","udp, 172.1.0.11:3000, .3 second delay","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","./hoprate-t4-l100-hr50ms-2013-01-01-19:02:33.db","1357016418.53","1357016740.07","321.54233098","54706","0.114811133201","0.0","8.63185153215e-05","0.646658663465","0.0247608328644","0.972222222222","0.235265306122","0.981607629428","0.980582524272","12467","851","11584","883","6932","5","4684","27","32","14084","851","11585","2499","7108","180","6125","1468","1648",,,"1616",,,,,,,,"1",,,,,,
"hoprate","500","156.04951787","4","1.66685605049","udp, port 2000",,"30ms","30ms","30ms","60.281843182","12.8984529923","61.0315472401","12.7275418167","59.5060021359","12.5667929129","1.0","0","0","tcp, port 5000","udp, 172.2.0.11:3000, .3 second delay","tcp, port 5000","tcp, 172.100.0.1:4000, .3 second delay","udp, port 3000","udp, 172.100.0.1:2000, .3 second delay","./hoprate-t4-l500-hr30ms-2012-12-20-11:21:37.db","1355979618.49","1355979941.14","322.651795149","40926","0.152116897714","0.0","0.0","0.64546899841","0.0494565217391","1.0","0.23623853211","1.0","1.0","9052","892","8160","892","3498","0","4662","0","0","10676","892","8160","2516","3680","182","6104","1442","1624","1",,"1615",,,,,,,,"6",,,,,"2",
